Model,RMSE,MAE,R2,DirAcc,CumReturn,BnH,Sharpe,MaxDrawdown
Elastic Net,0.0123252197652352,0.010191166461701075,0.678190769535152,0.7941176470588235,0.16466544452816678,0.2079923625921194,4.526357087739994,-0.0011407734955217728
Decision Tree,0.019789789200434314,0.016266042592216548,0.17035654829898395,0.6176470588235294,0.07859351465305475,0.2079923625921194,2.9289633179595915,-0.002766908707023414
XGBoost,0.016004340210228767,0.01286653548160915,0.4573938611382048,0.7450980392156863,0.11320159096549354,0.2079923625921194,3.8545523443230976,-0.003556880329425758
LightGBM,0.01692447769630342,0.013702649091080224,0.39320820015186675,0.7352941176470589,0.0928409775177359,0.2079923625921194,3.8628911960448775,-0.0025454734775047167
